sample	LONDD	LATDD	ELEV
S840	-121.0294	42.7619	1591
S841	-120.8806	45.9181	714
S842	-120.755	42.5622	2193
S843	-120.7353	42.6925	1890
S844	-120.7	47.7	503
S845	-120.7	47.75	457
S846	-120.7	47.8	427
S847	-120.68	47.6	594
S848	-120.68	48.71	1920
S849	-120.65	47.5	625
S850	-120.6403	42.2833	1868
S851	-120.6	47.25	1768
S852	-120.5	48.5	945
S853	-120.5	48.55	884
S854	-120.5	48.7	1661
S855	-120.45	48.68	1173
S856	-120.3367	44.4369	1585
S857	-120.25	38.75	915
S858	-120.25	38.75	1219
S859	-120.25	38.75	1524
S860	-120.25	38.75	1707
S861	-120.25	38.75	1829
S862	-120.25	38.75	2134
S863	-120.25	38.75	2535
S864	-120.2447	41.4264	2118
S865	-120.2447	41.4542	2051
S866	-120.2236	41.3867	2743
S867	-120.2097	41.9758	2042
S868	-120.1606	42.4211	1859
S869	-120.1367	41.1542	2220
S870	-120.1	48.5	640
S871	-120.1	48.75	777
S872	-120.08	47.28	213
S873	-120.03	48.8	1036
S874	-120	38	585
S875	-119.98	47.23	305
S876	-119.95	48.4	1265
S877	-119.93	48.55	1890
S878	-119.93	48.55	1890
S879	-119.833	37	2219
S880	-119.8314	44.4269	1345
S881	-119.817	37.95	1554
S882	-119.6667	37.85	2430
S883	-119.6628	44.9744	1225
S884	-119.6294	43.8936	1695
S885	-119.625	37.725	1212
S886	-119.55	49.03	914
S887	-119.533	37.9	2743
S888	-119.5	50.27	914
S889	-119.26	37.196	2015
S890	-119.25	37.75	915
S891	-119.25	37.75	1220
S892	-119.25	37.75	1524
S893	-119.25	37.75	1829
S894	-119.25	37.75	2134
S895	-119.25	37.75	2439
S896	-119.25	37.75	3034
S897	-119.18	37.94	2226
S898	-119.12	37.94	2073
S899	-119.083	37	1683
S900	-119.068	37.663	2438
S901	-119.008	37.596	2816
S902	-119	38	1941
S903	-119	38	2257
S904	-119	38	2587
S905	-119	38	2883
S906	-119	47.94	777
S907	-118.98	37.65	2348
S908	-118.9103	44.5497	1524
S909	-118.7725	44.2369	1463
S910	-118.7	48.2	549
S911	-118.6492	42.7375	2247
S912	-118.64	37.54	2073
S913	-118.5978	44.7858	1832
S914	-118.55	48.18	1372
S915	-118.08	53.03	975
S916	-117.617	52.733	1675
S917	-117.57	46.23	1585
S918	-117.55	46.28	1402
S919	-117.25	36.5	1670
S920	-117.25	36.5	1820
S921	-117.25	36.5	1820
S922	-117.25	36.5	1980
S923	-117.25	36.5	1980
S924	-117.25	36.5	2130
S925	-117.25	36.5	2280
S926	-117.25	36.5	2439
S927	-117.0025	45.0961	1565
S928	-116.92	46.8	1341
S929	-116.88	46.8	1372
